msg_id,user_id,message
504317035011391489,1068405596,"""I'd rather kill myself than commit suicide"" wait what"
500027584713719808,621232441,"In the wake of Robin Williams death, mental health is being revisited... Read more here: http://LINK"
500182614766931969,1460051365,Comedy great Robin Williams hanged himself at home - Flowers Robin... http://LINK
470448597033836544,454265504,LOL @ the fact I just ran into my brothers ex girlfriend who kicked him out and allowed him to be homeless for 8 months #rotinhell #bitch
641807657670680576,417329435,My abs are so close yet so fucking far away. #goals
502136230364995584,2646696260,"""you telling people with addiction and depression to kill their self bad move gene simmons.when i""  Wanda Smith http://LINK"
499727155493097472,2444923868,#USAHeadlines UPDATE 6-Comedy great Robin Williams hanged himself at home  Reuters http://LINK
437622121561223169,775819368,@SOMEONE my favs Nocturnal depression -Her ghost haunts these walls Make a change Kill Yourself -life revisited
473527599621099520,17481279,distracted from keynote reading ryan chamberlain's suicide note/twitter update. Know that feeling. I wonder how much of pressure was govt.
564414240673775618,391369921,#Mind-body #Health: #psychiatry &amp; #depression: #research suggesting #diet &amp; #nutrition of substantial relevance to #mood and #behaviour....
410495927879598080,161600560,I hate it when people start hitting me up for jays 
499000756452999168,48798787,I don't care if it was a joke...thats some fuckin dumb ass shit to play about...I hope your mother commits suicide...then we'll make a joke.
484405308874190848,2346338792,Iran: w#oman commits suicide by hanging http://LINK
635519256457711616,2476115360,@SOMEONE i just watched all of your bo3 gameplays and holy fuck it feels like youre using a mouse
498993042167042051,16554333,@SOMEONE ugh so sad. he was recently in rehab too. the twin cocktail of drugs&amp;depression is probably our greatest public health threat :(
551222419390623744,1190205696,Mentally Ill Rikers Island Inmate Who Hanged Himself Was Supposed To Be On Suicide Watch http://LINK
447777052641329152,315037581,"A muslim believes he is weak bec he knows that, happy or sad, he needs to seek help from ALLAH The Almighty hihi ^^"
358761682153127936,277421038,Thank god tho. I hate it when it's slow.
671039273731256323,791218008,@SOMEONE she kept sayin how surprised she was that i wasn't hitting on her n im just like ohhh i really wanna trust me 
484387015367352320,7989192,"""8 Afghan Air Force Officers Killed in Suicide Attack in Kabul"" by AZAM AHMED and JAWAD SUKHANYAR via NYT The Ne... http://LINK"
551999964839424001,17183476,#French man found hanging from balcony on #KohTao #Thailand - hands tied behind back http://LINK
427637808967471104,566577044,@SOMEONE WHY DO I HATE MYSELF
498997086428626945,1058646950,R.I.P robin Williams you will be sadly missed :( but you will be remembered for being the happy cheerful man you always was :'(
513303232907837441,466088644,"Where does all my enemies judges, lawyers, detectives, police officers, and others having license to murder get their permission to kill"
360399532862865411,63845667,My mom was talking shit about my kitty &amp; I meant to say I fuckin love him but accidentally said I love fucking him. Awkward
499122284452663296,1275137971,RIP Robin Williams. Reach out to the people you know who battle depression because it really can kill. Support mental health charities.
642847581119361024,505828968,@SOMEONE guy is burn this mother fucker to the ground! Best thing to hit Michigan this year!
445986446499790848,140510422,@SOMEONE OKAY THIS IS FUCKING UNFAIR IF YOU DONT GET ME TICKETS IM GONNA GO INTO DEPRESSION http://LINK
705023664304033796,2694256117,"Some strong points go to Max, just Max as a character. Fucking loved that little shit. Perfect successor to michelle"
543778789965062144,560216420,The FBI is investigating the hanging death of a black teenager in North Carolina previously ruled a suicide. http://LINK
537621247526727680,998009144,Life is about constant re-invention and adapting to change. Fuck suicide as a retirement option.
705218720835215362,257773838,"""hate when girls post a snapchat with the dog filter"" oh well  @ Who Let The Dogs Out? http://LINK"
705970690290262016,1918445090,"Na I'm good fuck that, always"
620474370528448512,636682753,"@SOMEONE never was in school. I'd pull up at school like, ""I'm about to go over kaylah's and go right back to sleep."" Fuck school"
704834925489475584,308019790,"""Dude. We are so fucked.""- a bro who, even though his stereotype is that he's an idiot (and is), he still knows how bad it is #SuperTuesday"
628091451763654656,711818084, i would of killed them http://LINK
510398242052644864,38786033,Photo: thisplaceisaliving-hell: B&amp;W depression blog http://LINK
507864410279272451,422587260,"WHO: One suicide is committed every 40 seconds: Every 40 seconds someone in the world takes their own life, a ... http://LINK"
666381481464459268,452553250,"Thought I hated Justin Bieber but there isn't one new song of his I don't like, alright JB I see you."
498980958444748801,20097362,Marin County Sheriff's Office says it appears Robin Williams took his own life. Full coverage up next at 5. Watch: http://LINK
499187599396044800,114431945,It's just such a big deal. Robin Williams is gone! He left. Left us all to it. I miss him.
562044956416569345,132782052,Did everyone making commercials this year have a meeting together and decided were going to give the entire nation depression?
470170599181262848,132818820,The art of sales suicide - Recent Blog - Nick Baldock http://LINK
435449644055670788,404399789,Drove for an hour on the highway with the window fucked up deff getting sick
498980072754540544,2191822547,"RIP Robin Williams, i still cant believe it... we will miss you:'("
422893584900055040,568694265,Everything that kills me makes me feel alive
565233830559514624,40298762,Both cancer and depression just really hit me right in the feels.
526054239131299840,198646850,Suicide attack kills 8 Shiite militiamen in Iraq http://LINK
502814720949092352,2754942752,I wish depression was talked about more openly and seriously at school because I feel like that could help save lives.
555743213274009601,1318632763,"English bulldogs are honestly precious dogs, but we've mutilated them to the point of having so many health problems it's not fair."
624266491479859201,2946665317,When a bitch realize she can't fuck with u 
613503760497803264,292604111,@SOMEONE Hi Girlfriends! I filled out an app at AVN who should I contact to let them know I'm coming to LA again? xo Maxine X Thank u
543578958189457408,1645080612,"After North Carolina teen's hanging ruled a suicide, FBI opens inquiry http://LINK"
484377795376594944,2362365049,Iran: w#oman commits suicide by hanging http://LINK
537300468041396224,2807029784,Nigeria: 2 female bombers kill 30 in Maiduguri: Two teenage female suicide bombers blew themselves up Tuesday ... http://LINK
499286615463051264,43831704,Robin Williams hanging himself really makes me sad. That's one of the most disturbing pictures in can imagine.
532910216233639937,50890679,I won't admit how many times I've listened to Blank Space. But it's on the borderline of needing to seek help. #TaylorSwift #obsessed
562584355730882561,32073782,Off to the gym. #blackdog #depression #recovery #selfcare #self #care #therapy #mental #health #boxing http://LINK
462964090043125760,184968412,Foto: just-a-scratch-just-a-scar: Man Overboard // How To Hide Your Feelings bands/depression blog http://LINK
499027072665137152,2697438224,RIP Robin Williams!!!!!! The entire world will miss you dearly!!!!
499432366104780800,1648964377,@SOMEONE Apple posts Robin Williams tribute page to company website http://LINK
487016200464252928,33997733,@SOMEONE Thank you so much for buzzfeed about depression. You were spot on. It's very helpful to identify those feelings with others.
705923717419900928,1523141006,"I hate all these ppl who be actin like they feel sorry for Ciara, she admitted she used to love hood niggas in her music "
520270859160649728,1394401363,"60-year-old woman commits suicide in Ondo: A 60-year-old woman, Deborah Lawani, has committed suicide by hangi... http://LINK"
499727843753205761,461605858,"Riverbend Community Mental Health, Inc.'s photo. To a great actor and thoughtful person, rest in peace Robin Williams. 1 in 4 people..."
537840340578099200,105903931,"Photo: smilethroughtears96: ""No one commits suicide because they want to die; they do it because they want... http://LINK"
534823116971978753,378676320,Suicide and suicidal thoughts affect more people than some think and if you're insensitive enough to make jokes out of it you're disgusting
498983129101922304,147454788,@SOMEONE Suicide is for pussies.... U don't deserve to be praise for being a coward and ending your life What the fuck asshole
530373903785689088,92567309,On the outside you look fine but on the inside could be killin' you act like a comedian but now you robin Williams
613110658176024580,320529449,"I hate talking on the phone, and especially to those who take 20 min. to say what could have been said in 5. Make your point, and hang up!"
499278211164164096,2667707252,just goes to show even famous people with so much going for them can take their own lives we were bought up on robin williams films so sad
561911335504445441,607305339,"And then my brother said ""maybe this is why you can't find a boyfriend?!"" #thanksjay "
438998426361929729,1424710304,"""I can feel it consuming me up every second"" ""honey that's how depression feels like"""
623999000597954560,423090357,Biggest decision of my life and it got me all types of fucked up
438794675508740096,132390780,Foto: be-cutfree-and-hope: Follow a depression blog with a little pinch of happiness. http://LINK
507809353886232576,1739459209,"Suicide: Every 40 seconds someone in the world takes their own life, a global tally of more than 800,000 suici... http://LINK"
530245035477200896,32680530,"@SOMEONE @SOMEONE @SOMEONE you need to be put in a mental institution you're psychotic, just seek help. I'm done here."
501712074079485952,1054958480,How the fuck do people get hold of pictures like this  robin Williams after he had been found hung http://LINK
457719997557530624,38652595,Suicide risk a concern: South Korean officials have made mental health counselors available to the families of... http://LINK
705097543047229440,502340350,"Interested in a #Healthcare #job near #JerseyCity, NJ? This could be a great fit: http://LINK"
